slug,latitude,longitude,city,water_name,water
neuenburgersee_cudrefin_mattera,46.9627089,7.0259681,Cudrefin,Neuenburgersee,l
nidau-strand,47.127196,7.232613,Nidau,Bielersee,l
nouvelle-plage,46.8566464,6.848428,Estavayer,Neuenburgersee,l
oben-am-see,46.74445107,8.0499211,Brienz (BE),Brienzersee,l
oberi-chlihochstetten,46.896025,7.532114,Rubigen,Aare,r
ognonnaz-1,46.4599413,6.8591341,Vevey,Ognonnaz,r
oyonne,46.456682,6.852262,La Tour-de-Peilz,Lac Léman,l
pacha-mama-gerra,46.123473,8.783508,Gambarogno,Lago Maggiore,l
parc-des-pierrettes,46.515215,6.575531,Saint-Sulpice (VD),Lac Léman,l
pecos-plage,46.80359,6.63665,Grandson,Neuenburgersee,l
pfaffner_rothrist_ischik,47.2985678,7.8994664,Rothrist,Pfaffnern,r
pfafikon-bad,47.206766,8.774182,Freienbach,Zürichsee,l
pierrier-sud,46.4395601,6.8910001,Montreux,Lac Léman,l
plage-de-cheyres,46.818689,6.782256,Cheyres-Châbles,Neuenburgersee,l
plage-de-dorigny,46.518169,6.583319,Saint-Sulpice (VD),Lac Léman,l
plage-de-serriere,46.98485,6.91345,Neuchâtel,Neuenburgersee,l
plage-de-st-sulpice,46.513265,6.570977,Saint-Sulpice (VD),Lac Léman,l
pointe-dareuse,46.94619,6.87097,Boudry,Neuenburgersee,l
pont-sous-terre,46.2029598,6.13157672,Genève,Rhône,r
preverenges,46.51269,6.527657,Préverenges,Lac Léman,l
preverenges-le-sout,46.5089049,6.5345263,Préverenges,Lac Léman,l
quai-maria-belgia,46.460156,6.836718,Vevey,Lac Léman,l
rastplatz-stampf,47.215177,8.844286,Rapperswil-Jona,Zürichsee,l
reuss,47.3298691,8.3568493,Bremgarten (AG),Reuss,r
reuss_hunenberg_eberhardy,47.2329755,8.4010121,Hünenberg,Reuss,r
reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,Merenschwand,Reuss,r
reuss_stkarli_linigersimhofy,47.0571118,8.2879145,Luzern,Reuss,r
rhein-beach-tinguely,47.5586439,7.6121536,Basel,Rhein,r
rhein_basel,47.5568018,7.6010856,Basel,Rhein,r
rhein_basel_hungerbuehlern,47.5582176,7.6103488,Basel,Rhein,r
rhein_domatems_foppa_f,46.8380375,9.4476387,Domat/Ems,Rhein,r
rhein_eglisau_gomringerp,47.5733159,8.5345847,Eglisau,Rhein,r
rhein_hemishofen_stolll,47.6755236,8.8280292,Hemishofen,Rhein,r
rivapiana,46.172079,8.813255,Minusio,Lago Maggiore,l
rocky-plage,46.20973675,6.16495237,Genève,Lac Léman,l
rolle-plage,46.4613,6.349739,Rolle,Lac Léman,l
route-13,46.162521,8.7825791,Locarno,Maggia,r
ruisseau-de-la-croix-plage,46.81392,6.7747,Cheyres-Châbles,Neuenburgersee,l
saint-sulpice,46.507808,6.545344,Saint-Sulpice (VD),Lac Léman,l
san-nazzaro-gambarogno,46.130443,8.798657,Gambarogno,Lago Maggiore,l
schiffenensee_duedingen_hirschij,46.8591514,7.1764374,Düdingen,Schiffenensee,l
schmerikon-bahnhof-strand,47.22478,8.94418,Schmerikon,Zürichsee,l
schusspark-strand,47.1465,7.26862,Biel/Bienne,Schüss,r
schutzenmatte,47.057666,7.634001,Burgdorf,Emme,r
seeflechsen,47.1302229,9.1033996,Glarus Nord,Walensee,l
seemuhlestrasse-strand,47.12864,9.2951,Walenstadt,Walensee,l
seez,47.11983,9.300251,Walenstadt,Seez,r
seez_spennwiesenbrucke,47.114948,9.310123,Walenstadt,Seez,r
sempachersee_sempach_tampec,47.1286181,8.1918737,Sempach,Sempachsee,l
sense_torishaus_g-cubes,46.8831206,7.3531889,Köniz,Sense,r
sentiero-giro-del-golf-spiaggia,46.14577,8.79043,Ascona,Lago Maggiore,l
signalpain,46.7862,6.64736,Yverdon-les-Bains,Neuenburgersee,l
sihl_adliswil_oggi_fort,47.3124217,8.5262549,Adliswil,Sihl,r
sihl_leimbach_kruegerm,47.3254361,8.5191195,Zürich,Sihl,r
sihl_menzingen_kucharska_magdalena,47.1915012,8.6184214,Menzingen,Sihl,r
sihl_zuerich_eggerskoehlingera,47.3818981,8.5383279,Zürich,Sihl,r
sihl_zuerich_eichenbergerd,47.3395883,8.5166965,Zürich,Sihl,r
sihl_zuerich_scherfs,47.3731495,8.5323698,Zürich,Sihl,r
sihl_zurich_himmelhebern,47.3430554,8.5186122,Zürich,Sihl,r
sihlsee_einsiedeln_schilligerllacherl,47.1413938,8.7603588,Einsiedeln,Sihlsee,l
sitter_gaiserwald_buehlerf,47.4251609,9.3401037,St. Gallen,Sitter,r
sitter_stgallen_jennya,47.4102424,9.320376,St. Gallen,Sitter,r
sitter_stgallen_steinbrunnerf,47.4332917,9.3580747,St. Gallen,Sitter,r
sorne_birse_wwfjura,47.3709868,7.3609099,Delémont,Birs,r
spackmatt,47.223749,7.576711,Luterbach,Aare,r
spiaggia-parco-ciani,46.00251,8.96082,Lugano,Lago di Lugano,l
strandbeiz,47.2158617,8.8430984,Rapperswil-Jona,Zürichsee,l
strandboden-biel,47.13251,7.233142,Biel/Bienne,Bielersee,l
sundbach-strand,46.684386,7.794768,Beatenberg,Thunersee,l
thun-strandbad,46.739939,7.63352,Thun,Thunersee,l
thunersee_spiez_meierd_1,46.7044368,7.6578824,Spiez,Thunersee,l
thur_schoenenberg_schaera,47.5240726,9.1983347,Kradolf-Schönenberg,Thur,r
thur_schwarzenbach_meiliw,47.4467866,9.0638156,Wil (SG),Thur,r
tiger-duck-beach,46.518256,6.582546,Saint-Sulpice (VD),Lac Léman,l
tolochenaz,46.4975095,6.4828747,Tolochenaz,Lac Léman,l
toss_bauma_kurthe,47.3701757,8.8678249,Bauma,Töss,r
toss_kollbrunn_burgid,47.4545698,8.77968,Zell (ZH),Töss,r
toss_winterthur-2,47.4787073,8.7084264,Winterthur,Töss,r
tschilljus,46.304399,7.580262,Salgesch,Rhône,r
unterdsee_ermatingen_brunkem,47.6726333,9.0812462,Ermatingen,Untersee,l
untertenzen,47.11526,9.25478,Quarten,Walensee,l
urnaesch_urnaesch_meierr,47.3250986,9.2954188,Hundwil,Urnäsch,r
versoix,46.289194,6.1705693,Versoix,Lac Léman,l
veveyse,46.461022,6.834983,Vevey,Lac Léman,l
via-brunari-spiaggia,46.20235,9.01691,Bellinzona,Ticino,r
via-mirasole-spiaggia,46.19953,9.01493,Bellinzona,Ticino,r
vidy,46.5147155,6.5985884,Lausanne,Lac Léman,l
vidy-ruines,46.516221,6.596279,Lausanne,Lac Léman,l
vierwaldstattersee_weggis_schoberls_1,47.0445321,8.4185689,Weggis,Vierwaldstättersee,l
vierwaldstattersee_weggis_schoberls_2,47.043953,8.4173076,Weggis,Vierwaldstättersee,l
vierwaldstattersee_weggis_schoberls_3,47.0299566,8.410801,Weggis,Vierwaldstättersee,l
villa-barton,46.22235,6.1525,Genève,Lac Léman,l
vira-gambarogno,46.143343,8.838759,Gambarogno,Lago Maggiore,l
vira-spiaggia-left-of-river,46.1429,8.838407,Gambarogno,Lago Maggiore,l
vorderrhein_disentis_schmidn,46.6982739,8.8578373,Disentis/Mustér,Vorderrhein,r
walensee_walenstadt_wysse,47.1218282,9.2995517,Walenstadt,Walensee,l
weissenau-neuhaus,46.676583,7.817528,Unterseen,Thunersee,l
wycheley,46.74037,8.04864,Brienz (BE),Brienzersee,l
zuerichsee_maennedorf_vanderkaadene,47.254754,8.6875038,Männedorf,Zürichsee,l
zuerichsee_richterswil_benkoem_2,47.2176458,8.6987133,Richterswil,Zürichsee,l
zuerichsee_staefa_hennm,47.2346431,8.7698814,Stäfa,Zürichsee,l
zuerichsee_waedenswil_colomboc_1,47.2195468,8.6919611,Richterswil,Zürichsee,l
zuerichsee_zurich_kullg,47.3539573,8.5504743,Zürich,Zürichsee,l
zugersee_immensee_guedesd,47.1066869,8.4788812,Meierskappel,Zugersee,l
zugerseecholler_cham_blarerm,47.1782157,8.4800128,Zug,Zugersee,l
zulg_steffisburg_schmassmanne,46.7742431,7.6245372,Steffisburg,Zulg,r
zurcher-strand,47.3642,8.53742,Zürich,Zürichsee,l
zurichsee-feldeggstr-banningersand,47.3593922,8.5473682,Zürich,Zürichsee,l
zurichsee_kusnachterhorn_thirkell-whitej,47.3176849,8.5768602,Küsnacht (ZH),Zürichsee,l
zurichsee_wollishofen_langendorfm,47.3458899,8.5361545,Zürich,Zürichsee,l
