yx,loc_date,date,location,team,pcs_m,quantity
y6,"('plage-de-st-sulpice', '2021-10-07')",2021-10-07,plage-de-st-sulpice,SWE,7.6499999999999995,304
y6,"('preverenges', '2020-12-10')",2020-12-10,preverenges,PC,3.2800000000000002,164
y6,"('preverenges', '2021-01-07')",2021-01-07,preverenges,PC,2.15,151
y6,"('preverenges', '2021-02-07')",2021-02-07,preverenges,PC,4.42,267
y6,"('preverenges', '2021-03-08')",2021-03-08,preverenges,PC,2.61,132
y6,"('preverenges', '2021-04-08')",2021-04-08,preverenges,PC,1.8900000000000001,142
y6,"('preverenges', '2021-05-12')",2021-05-12,preverenges,PC,4.74,237
y6,"('preverenges-le-sout', '2021-02-04')",2021-02-04,preverenges-le-sout,HD,2.68,268
y6,"('quai-maria-belgia', '2020-11-30')",2020-11-30,quai-maria-belgia,HD,4.55,162
y6,"('quai-maria-belgia', '2020-12-23')",2020-12-23,quai-maria-belgia,HD,3.5700000000000003,135
y6,"('quai-maria-belgia', '2021-01-31')",2021-01-31,quai-maria-belgia,HD,6.89,298
y6,"('quai-maria-belgia', '2021-02-28')",2021-02-28,quai-maria-belgia,HD,3.19,146
y6,"('quai-maria-belgia', '2021-03-29')",2021-03-29,quai-maria-belgia,HD,5.39,214
y6,"('tiger-duck-beach', '2020-11-24')",2020-11-24,tiger-duck-beach,SWE,48.55,971
y6,"('tiger-duck-beach', '2021-10-07')",2021-10-07,tiger-duck-beach,SWE,16.36,491
y6,"('vidy-ruines', '2020-12-01')",2020-12-01,vidy-ruines,PC,17.52,105
y6,"('vidy-ruines', '2021-03-04')",2021-03-04,vidy-ruines,PC,11.58,93
y6,"('vidy-ruines', '2021-04-15')",2021-04-15,vidy-ruines,PC,5.23,78
y6,"('villa-barton', '2021-01-22')",2021-01-22,villa-barton,HD,9.66,483
y6,"('villa-barton', '2021-11-14')",2021-11-14,villa-barton,HD,9.07,537
