OBJECTID,OBJORIG,DATEOFCHNG,GEWISSNR,NAMN,LAUFNR,BREITE,KLASSE,LINST,GWLNR,EXS,HOC,UUID,OBJORIG_YE,OBJVAL,slug,latitude,longitude,city,water_name,water,length
"13288",TLM,2015/10/22,"11011",Kanal Aarboden,"0","18","8",CH,CH0110110000,Not applicable,Man-made,{AD282545-25D5-4735-B1F2-4EE2FA75810D},"2015",Fluss,oben-am-see,46.744451069999997,8.049921100000002,Brienz (BE),Brienzersee,l,"1597"
"18603",LK200,2005/01/01,"1855",Glyssibach,"999","10","10",CH,CH0018550999,Not applicable,Natural,{B9FC9C7E-6AC9-4083-BB2C-CE5D8F368D69},"1998",Seeachse,oben-am-see,46.744451069999997,8.049921100000002,Brienz (BE),Brienzersee,l,"510"
"20920",LK200,2005/01/01,"691",Wehrenbach,"999","9","9",CH,CH0006910999,Not applicable,Natural,{FE4DB897-4B4D-4A5B-8816-7131B03B0DC2},"1998",Seeachse,zurichsee-feldeggstr-banningersand,47.359392200000002,8.547368199999999,Zürich,Zürichsee,l,"11"
"14141",TLM,2015/10/29,"11100",N_P,"0","20","10",CH,CH0111000000,Not applicable,Man-made,{BEA4FDE7-67E5-4603-B6D1-F9A96453367E},"2015",Fluss,canale-saleggi,46.200624500000004,9.015853000000000,Bellinzona,Ticino,r,"3009"
"16249",TLM,2015/09/15,"688",Dorfbach,"0","9","9",CH,CH0006880000,Not applicable,Natural,{97A18958-7F9B-40FF-B0DC-A33DB81CE9F9},"2015",Fluss,kusnachter-dorfbach-tobelweg-1-4,47.317770000000003,8.588258000000000,Küsnacht (ZH),Dorfbach,r,"2359"
"22721",TLM,2015/09/21,"37",Aare,"0","14","4",CH,CH0000370000,Naviguable and operational,Man-made,{4B7A12DE-17BE-43CA-8CA1-E8C12FA58DDB},"2015",Fluss,brugg-be-buren-bsg-standort,47.122219999999999,7.281410000000000,Brügg,Nidau-Büren-Kanal,r,"2844"
"21448",TLM,2020/05/06,"3228",Hardbach,"0","9","9",CH,CH0032280000,Not applicable,Natural,{1F887090-FEAF-411E-8908-220CC094A901},"2020",Fluss,pfaffner_rothrist_ischik,47.298567800000001,7.899466400000000,Rothrist,Pfaffnern,r,"1710"
"21293",TLM,2020/07/22,"3871",La Promenthouse,"0","8","7",CH,CH0038710000,Not applicable,Natural,{2FB44688-5D98-446B-B905-80BABE788EC0},"2020",Fluss,lacleman_gland_kubela,46.402869299999999,6.281935800000000,Gland,Lac Léman,l,"2271"
"15850",GN200,2007/09/06,"11004",Canal Oriental,"0","18","8",CH,CH0110040000,Not applicable,Man-made,{47F9DF8E-245B-46AE-90BF-5356EB97B4EB},"2008",Fluss,la-thiele_le-mujon_confluence,46.775340000000000,6.630900000000000,Yverdon-les-Bains,La Thièle,r,"3069"
"15202",TLM,2015/09/15,"577",Sihl,"0","6","6",CH,CH0005770000,Not applicable,Natural,{087DE7C5-A4B5-4591-B0F7-1E80FB90537A},"2015",Fluss,sihl_zurich_himmelhebern,47.343055399999997,8.518612200000000,Zürich,Sihl,r,"3119"
"16527",TLM,2016/03/22,"294",Limmat,"0","4","4",CH,CH0002940000,Not applicable,Natural,{B542D231-8092-45B0-9705-9581394485F9},"2016",Fluss,limmat_zuerich_wagnerc,47.403495599999999,8.477770100000004,Zürich,Limmat,r,"3948"
"13035",LK200,2005/01/01,"3877",Le Flon de Tartegnin,"999","10","10",CH,CH0038770999,Not applicable,Natural,{A2E4714B-33F8-495F-8014-9D98CF1E6B96},"1998",Seeachse,rolle-plage,46.461300000000001,6.349739000000000,Rolle,Lac Léman,l,"1053"
"14698",GN200,2010/09/27,"430",Kander,"0","5","5",CH,CH0004300000,Not applicable,Natural,{A46E9CC5-D055-4C6E-951F-2D4AF9336477},"2010",Fluss,delta-park,46.720078000000001,7.635304000000000,Spiez,Thunersee,l,"1233"
"22826",TLM,2020/07/24,"3955",L'Avançon,"0","10","10",CH,CH0039550000,Not applicable,Natural,{21995723-6644-49F6-A964-7A569DBEDD06},"2020",Fluss,lavey-la-source,46.200803999999998,7.021866000000000,Lavey-Morcles,Rhône,r,"1479"
"12543",LK200,2005/01/01,"2734",Chrienbach,"0","9","9",CH,CH0027340000,Not applicable,Natural,{59BDF896-51D1-4513-BBB7-AA3CBC343F57},"1998",Fluss_U,reuss_stkarli_linigersimhofy,47.057111800000001,8.287914499999999,Luzern,Reuss,r,"20"
"11934",GN200,2011/01/05,"5492",Schanzengraben,"0","20","10",CH,CH0054920000,Not applicable,Man-made,{468A8729-37EB-4166-B900-EA314E63984B},"2009",Fluss,sihl_zuerich_eggerskoehlingera,47.381898100000001,8.538327900000002,Zürich,Sihl,r,"870"
"12207",TLM,2016/03/22,"3568",Müligiessen,"0","8","8",CH,CH0035680000,Not applicable,Natural,{BDAF054C-D5E6-41AE-BD88-B8EDC704EB39},"2016",Fluss,limmat_dietikon_keiserp,47.407989100000002,8.409539799999999,Dietikon,Limmat,r,"384"
"19248",TLM,2020/07/02,"1000",Binnenkanal,"0","20","10",CH,CH0010000000,Not applicable,Man-made,{61A35D07-533F-4E4C-AF61-76E6360A0908},"2020",Fluss,reuss_hunenberg_eberhardy,47.232975500000002,8.401012100000004,Hünenberg,Reuss,r,"2529"
"16716",TLM,2020/07/02,"648",Bäntalbach,"0","9","9",CH,CH0006480000,Not applicable,Natural,{547D804E-6BC5-4DAC-AE91-471E6A80EED6},"2020",Fluss,toss_kollbrunn_burgid,47.454569800000002,8.779680000000004,Zell (ZH),Töss,r,"1067"
"13567",LK200,2005/01/01,"1169",Lipperütibach,"999","9","9",CH,CH0011690999,Not applicable,Natural,{5A68C7E1-173E-4610-AC18-FD2C527E3C00},"1998",Seeachse,sempachersee_sempach_tampec,47.128618099999997,8.191873700000000,Sempach,Sempachsee,l,"254"
"20515",GN200,2010/11/10,"56",Ticino,"0","3","4",CH,CH0000560000,Not applicable,Natural,{A75C56A7-C91C-4E65-94E5-2327E01A6E00},"2010",Fluss,golene-gudo,46.170655300000000,8.946657000000000,Bellinzona,Ticino,r,"2688"
"16308",TLM,2020/07/16,"1418",N_P,"0","10","10",CH,CH0014180000,Not applicable,Natural,{91180D16-6AF1-4888-B91A-548D5B61B381},"2020",Fluss,mannewil,46.996381999999997,7.239024000000000,Kallnach,Aare,r,"1135"
"15768",TLM,2015/09/17,"2400",Tobelbach,"999","9","9",CH,CH0024000999,Not applicable,Natural,{913004F3-86C8-4604-A90C-E2F8E62AE8B5},"2015",Seeachse,zuerichsee_staefa_hennm,47.234643100000000,8.769881399999999,Stäfa,Zürichsee,l,"536"
"21465",TLM,2020/07/24,"3953",Le Mauvoisin,"0","9","9",CH,CH0039530000,Not applicable,Natural,{27A94166-C49E-44E6-9C3F-0FB75F9334D9},"2020",Fluss,lavey-les-bains-2,46.207726000000001,7.011685000000000,Lavey-Morcles,Rhône,r,"1461"
