OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"79",{4987DCBB-97FA-4E21-8C75-5830B3444906},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",walensee_walenstadt_wysse,Walensee,l
"80",{BCC70EB5-5ED6-4C83-8225-11170940B71E},2009/03/25,Kanton,CH17000000,2027.609999999999900,St. Gallen,CH,"514504",,,
"81",{5FE6826A-8D46-4EA8-83E6-41ABDB66B9BE},2009/03/25,Kanton,CH04000000,1076.089999999999918,Uri,CH,"36819",,,
"82",{B55216F8-9C4F-49EF-A7F1-9D82EEF2C595},2011/04/12,Kanton,CH08000000,685.960000000000036,Glarus,CH,"40851",gasi-strand,Walensee,l
"82",{B55216F8-9C4F-49EF-A7F1-9D82EEF2C595},2011/04/12,Kanton,CH08000000,685.960000000000036,Glarus,CH,"40851",linth_mollis,Linthkanal,r
"82",{B55216F8-9C4F-49EF-A7F1-9D82EEF2C595},2011/04/12,Kanton,CH08000000,685.960000000000036,Glarus,CH,"40851",linth_route9brucke,Escherkanal,r
"82",{B55216F8-9C4F-49EF-A7F1-9D82EEF2C595},2011/04/12,Kanton,CH08000000,685.960000000000036,Glarus,CH,"40851",muhlehorn-dorf,Walensee,l
"82",{B55216F8-9C4F-49EF-A7F1-9D82EEF2C595},2011/04/12,Kanton,CH08000000,685.960000000000036,Glarus,CH,"40851",seeflechsen,Walensee,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",anarchy-beach,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",arabie,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",bain-des-dames,Lac Léman,l
