yx,loc_date,date,slug,team,pcs/m,quantity
Year 2,"('lacleman_gland_kubela', '2017-06-28')",2017-06-28,lacleman_gland_kubela,SLR,6.83,48.0
Year 2,"('lacleman_gland_kubela', '2017-07-25')",2017-07-25,lacleman_gland_kubela,SLR,6.29,44.0
Year 2,"('lacleman_gland_kubela', '2017-08-29')",2017-08-29,lacleman_gland_kubela,SLR,4.0,28.0
Year 2,"('lacleman_gland_kubela', '2017-09-28')",2017-09-28,lacleman_gland_kubela,SLR,5.84,41.0
Year 2,"('lacleman_gland_kubela', '2017-10-26')",2017-10-26,lacleman_gland_kubela,SLR,0.9800000000000001,7.0
Year 2,"('lacleman_gland_lecoanets', '2017-07-11')",2017-07-11,lacleman_gland_lecoanets,SLR,0.55,49.0
Year 2,"('lacleman_gland_lecoanets', '2017-08-07')",2017-08-07,lacleman_gland_lecoanets,SLR,1.27,109.0
Year 2,"('lacleman_gland_lecoanets', '2017-09-12')",2017-09-12,lacleman_gland_lecoanets,SLR,0.74,66.0
Year 2,"('lacleman_gland_lecoanets', '2017-10-10')",2017-10-10,lacleman_gland_lecoanets,SLR,0.81,69.0
Year 2,"('lacleman_vidy_santie', '2017-04-30')",2017-04-30,lacleman_vidy_santie,SLR,11.770000000000001,317.0
Year 2,"('lacleman_vidy_santie', '2017-05-23')",2017-05-23,lacleman_vidy_santie,SLR,18.61,502.0
Year 2,"('lacleman_vidy_santie', '2017-06-16')",2017-06-16,lacleman_vidy_santie,SLR,13.75,370.0
Year 2,"('lacleman_vidy_santie', '2017-07-21')",2017-07-21,lacleman_vidy_santie,SLR,8.55,231.0
Year 2,"('lacleman_vidy_santie', '2017-08-25')",2017-08-25,lacleman_vidy_santie,SLR,10.07,272.0
Year 2,"('lacleman_vidy_santie', '2017-09-26')",2017-09-26,lacleman_vidy_santie,SLR,6.25,168.0
Year 2,"('lacleman_vidy_santie', '2017-10-24')",2017-10-24,lacleman_vidy_santie,SLR,4.02,108.0
Year 2,"('le-pierrier', '2017-05-25')",2017-05-25,le-pierrier,HD,18.36,1044.0
Year 2,"('ognonnaz-1', '2017-05-03')",2017-05-03,ognonnaz-1,HD,2.85,135.0
Year 2,"('oyonne', '2017-01-31')",2017-01-31,oyonne,HD,24.61,592.0
Year 2,"('parc-des-pierrettes', '2017-10-05')",2017-10-05,parc-des-pierrettes,SWE,6.15,258.0
Year 2,"('plage-de-dorigny', '2017-03-20')",2017-03-20,plage-de-dorigny,HD,9.57,385.0
Year 2,"('plage-de-st-sulpice', '2017-10-05')",2017-10-05,plage-de-st-sulpice,SWE,8.92,748.0
Year 2,"('quai-maria-belgia', '2016-11-21')",2016-11-21,quai-maria-belgia,HD,22.34,826.0
Year 2,"('quai-maria-belgia', '2016-12-20')",2016-12-20,quai-maria-belgia,HD,8.8,325.0
Year 2,"('quai-maria-belgia', '2017-01-20')",2017-01-20,quai-maria-belgia,HD,1.0,37.0
Year 2,"('quai-maria-belgia', '2017-04-03')",2017-04-03,quai-maria-belgia,HD,6.85,253.0
Year 2,"('quai-maria-belgia', '2017-06-08')",2017-06-08,quai-maria-belgia,HD,39.55,1463.0
Year 2,"('quai-maria-belgia', '2017-07-26')",2017-07-26,quai-maria-belgia,HD,27.33,1010.0
Year 2,"('quai-maria-belgia', '2017-09-30')",2017-09-30,quai-maria-belgia,HD,11.21,415.0
Year 2,"('quai-maria-belgia', '2017-11-11')",2017-11-11,quai-maria-belgia,HD,12.240000000000002,453.0
Year 2,"('versoix', '2016-11-17')",2016-11-17,versoix,EINT,9.16,1490.0
Year 2,"('veveyse', '2016-11-28')",2016-11-28,veveyse,HD,6.43,303.0
Year 2,"('veveyse', '2016-12-05')",2016-12-05,veveyse,HD,6.04,285.0
Year 2,"('veveyse', '2017-01-05')",2017-01-05,veveyse,HD,6.82,292.0
Year 3,"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,HD,13.600000000000001,954.0
Year 3,"('arabie', '2018-05-08')",2018-05-08,arabie,HD,4.94,148.0
Year 3,"('arve_carouge_battistellak', '2018-03-18')",2018-03-18,arve_carouge_battistellak,HD,6.8100000000000005,379.0
Year 3,"('bain-des-dames', '2018-07-22')",2018-07-22,bain-des-dames,HD,18.97,417.0
Year 3,"('lacleman_gland_kubela', '2017-11-28')",2017-11-28,lacleman_gland_kubela,SLR,5.26,37.0
Year 3,"('lacleman_gland_kubela', '2017-12-16')",2017-12-16,lacleman_gland_kubela,SLR,2.69,19.0
Year 3,"('lacleman_gland_kubela', '2018-01-19')",2018-01-19,lacleman_gland_kubela,SLR,3.41,24.0
