slug,use,magnitude,hex minus,scaled,binned
savoniere-pk,Siedl,1967308,2244920.0,0.8763376868663472,18
tolochenaz-pk,Obstanlage,267588,2162736.0,0.12372661295692124,3
tolochenaz-pk,Reben,154174,2162736.0,0.07128655554815752,2
tolochenaz-pk,See,3682936,2162736.0,1.7029059487611988,
tolochenaz-pk,Siedl,777629,2162736.0,0.35955798581056586,8
tolochenaz-pk,Wald,104484,2162736.0,0.04831102825310163,1
vidy-pk,See,2753782,3091890.0,0.890646821199978,18
vidy-pk,Siedl,3091551,3091890.0,0.99989035832452,20
aubonne-pk,undefined,1121252,2505894.0,0.44744590154252334,9
baby-plage-pk,undefined,62448,3662673.0,0.017049843106387057,1
bouveret-pk,undefined,254821,3392184.0,0.07512004065817185,2
clarens-pk,undefined,843,2646485.0,0.00031853571813178613,1
crans-pk,undefined,1836650,3199614.0,0.5740223664479528,12
cully-pk,undefined,694234,3631730.0,0.1911579329961203,4
gland-pk,undefined,1179661,3377174.0,0.3493041815435035,7
grangettes-pk,undefined,452726,2485049.0,0.18217990872614584,4
hermance-pk,undefined,3209648,3851435.0,0.8333641876339598,17
lutry-pk,undefined,45052,3187666.0,0.014133224748138606,1
pichette-pk,undefined,912659,3333112.0,0.2738158813745233,6
port-choiseul-pk,undefined,368146,3011904.0,0.12223032341004228,3
preverenges-pk,undefined,221326,3021302.0,0.0732551727698853,2
rolle-pk,undefined,209023,3255752.0,0.0642011430846084,2
savoniere-pk,undefined,81140,2244920.0,0.0361438269515172,1
tolochenaz-pk,undefined,858861,2162736.0,0.39711781743125374,8
vidy-pk,undefined,339,3091890.0,0.00010964167548004618,1
gland,Strasse,48186,,0.31650999628681425,7
clarens,Strasse,48186,,0.31650999628681425,7
pichette,Strasse,54511,,0.37831499540737556,8
baby-plage,Strasse,52876,,0.36233852527897753,8
crans,Strasse,114282,,0.962369794211339,20
versoix,Strasse,38673,,0.22355332330121752,5
preverenges,Strasse,41279,,0.24901796009302507,5
hermance,Strasse,54285,,0.3761066270593523,8
savoniere,Strasse,15795,,0.0,0
vidy,Strasse,31190,,0.150432879282378,4
grangettes,Strasse,85705,,0.6831284566827571,14
tolochenaz,Strasse,18069,,0.022220485059313257,1
bouveret,Strasse,31941,,0.15777130684594187,4
port-choiseul,Strasse,47767,,0.31241572045574467,7
cully,Strasse,59962,,0.431579667376732,9
rolle,Strasse,55440,,0.3873927573335418,8
aubonne,Strasse,63647,,0.46758779729914596,10
lutry,Strasse,25779,,0.09755906896753894,2
anarchy-beach,Strasse,46547,,0.3004944399929645,7
arabie,Strasse,74012,,0.5688698235259629,12
baby-plage-geneva,Strasse,118133,,1.0,20
baby-plage-ii-geneve,Strasse,111232,,0.9325665930543884,19
