slug,magnitude,hex minus,use,scaled,binned
bain-des-dames,64256,0,Strasse,0.30656216625510685,7.0
bain-des-dames,1438,0,length,0.11909943086709072,3.0
bain-des-dames,0,0,Wald,0.0,0.0
bain-des-dames,0,0,Stadtzentr,0.0,0.0
bain-des-dames,0,0,Reben,0.0,0.0
bain-des-dames,0,0,Obstanlage,0.0,0.0
baye-de-montreux-d,48,0,dist,0.03206412825651302,1.0
baye-de-montreux-d,1818850,2453955,Siedl,0.7411912606384388,15.0
baye-de-montreux-d,258527,2453955,Wald,0.10535115762106477,3.0
baye-de-montreux-d,376578,2453955,undefined,0.15345758174049645,4.0
baye-de-montreux-d,44049,2453955,infrastructure,0.017950206910884673,1.0
baye-de-montreux-d,4560,2453955,recreation,0.0018582247840730577,1.0
baye-de-montreux-d,61893,0,Strasse,0.2932095451745786,6.0
baye-de-montreux-d,1465,0,length,0.12135922330097088,3.0
baye-de-montreux-d,0,0,Stadtzentr,0.0,0.0
baye-de-montreux-d,0,0,Reben,0.0,0.0
baye-de-montreux-d,0,0,Obstanlage,0.0,0.0
baye-de-montreux-g,41,0,dist,0.02738810955243821,1.0
baye-de-montreux-g,1810810,2438815,Siedl,0.7424958432681446,15.0
baye-de-montreux-g,261621,2438815,Wald,0.10727381945740042,3.0
baye-de-montreux-g,366384,2438815,undefined,0.150230337274455,4.0
baye-de-montreux-g,44149,2438815,infrastructure,0.018102644111997013,1.0
baye-de-montreux-g,4560,2438815,recreation,0.001869760518940551,1.0
baye-de-montreux-g,61130,0,Strasse,0.2888980555916573,6.0
baye-de-montreux-g,1465,0,length,0.12135922330097088,3.0
baye-de-montreux-g,0,0,Stadtzentr,0.0,0.0
baye-de-montreux-g,0,0,Reben,0.0,0.0
baye-de-montreux-g,0,0,Obstanlage,0.0,0.0
berlingen-swisslitterreport,429,0,dist,0.2865731462925852,6.0
berlingen-swisslitterreport,601250,3363303,Siedl,0.1787677173302554,4.0
berlingen-swisslitterreport,1364309,3363303,Wald,0.405645581144488,9.0
berlingen-swisslitterreport,1397744,3363303,undefined,0.41558670152525656,9.0
berlingen-swisslitterreport,20071,3363303,infrastructure,0.005967645496109033,1.0
berlingen-swisslitterreport,36176,0,Strasse,0.1478903084721053,3.0
berlingen-swisslitterreport,3136,0,length,0.2612152661533311,6.0
berlingen-swisslitterreport,0,0,Stadtzentr,0.0,0.0
berlingen-swisslitterreport,0,0,Reben,0.0,0.0
berlingen-swisslitterreport,0,0,Obstanlage,0.0,0.0
berlingen-swisslitterreport,0,0,recreation,0.0,0.0
bielersee_vinelz_fankhausers,483,0,dist,0.3226452905811623,7.0
bielersee_vinelz_fankhausers,65451,3917839,Reben,0.016705893223279467,1.0
bielersee_vinelz_fankhausers,1400611,3917839,Siedl,0.35749580317108487,8.0
bielersee_vinelz_fankhausers,324998,3917839,Wald,0.0829533832298877,2.0
bielersee_vinelz_fankhausers,2049103,3917839,undefined,0.5230186845350204,11.0
bielersee_vinelz_fankhausers,70212,3917839,infrastructure,0.01792110395552242,1.0
bielersee_vinelz_fankhausers,101359,3917839,recreation,0.025871149886455263,1.0
bielersee_vinelz_fankhausers,52776,0,Strasse,0.24169204775977712,5.0
bielersee_vinelz_fankhausers,1324,0,length,0.10955808503515232,3.0
bielersee_vinelz_fankhausers,0,0,Stadtzentr,0.0,0.0
