slug,city,water_name,use,water,magnitude,hex minus,scaled
toss_bauma_kurthe,Bauma,Töss,undefined,r,2272389,5845672,0.38873015796986216
toss_kollbrunn_burgid,Zell (ZH),Töss,undefined,r,1837420,5845672,0.3143214330191636
toss_winterthur-2,Winterthur,Töss,undefined,r,713435,5845672,0.12204499328734147
tschilljus,Salgesch,Rhône,undefined,r,735526,5845672,0.12582402844360752
unterdsee_ermatingen_brunkem,Ermatingen,Untersee,undefined,l,2086561,3785158,0.5512480588657065
untertenzen,Quarten,Walensee,undefined,l,1862518,2833591,0.6572995185261388
urnaesch_urnaesch_meierr,Hundwil,Urnäsch,undefined,r,4258263,5845672,0.7284471314846266
versoix,Versoix,Lac Léman,undefined,l,354987,3006979,0.1180543661927802
veveyse,Vevey,Lac Léman,undefined,l,1514,2567988,0.0005895666179125447
via-brunari-spiaggia,Bellinzona,Ticino,undefined,r,1031937,5845672,0.17653008926946295
via-mirasole-spiaggia,Bellinzona,Ticino,undefined,r,907050,5845672,0.15516607842520072
vidy,Lausanne,Lac Léman,undefined,l,334,3017977,0.00011067016083952926
vidy-ruines,Lausanne,Lac Léman,undefined,l,47127,3320371,0.014193293460278988
vierwaldstattersee_weggis_schoberls_1,Weggis,Vierwaldstättersee,undefined,l,2273587,3362113,0.6762375327658529
vierwaldstattersee_weggis_schoberls_2,Weggis,Vierwaldstättersee,undefined,l,2214513,3280856,0.6749802490569534
vierwaldstattersee_weggis_schoberls_3,Weggis,Vierwaldstättersee,undefined,l,1433306,2653742,0.5401075161036755
villa-barton,Genève,Lac Léman,undefined,l,925,2827411,0.000327154417946312
vira-gambarogno,Gambarogno,Lago Maggiore,undefined,l,465496,3130197,0.1487114069817331
vira-spiaggia-left-of-river,Gambarogno,Lago Maggiore,undefined,l,459600,3230825,0.14225468727027926
vorderrhein_disentis_schmidn,Disentis/Mustér,Vorderrhein,undefined,r,1908727,5845672,0.32651968841221335
walensee_walenstadt_wysse,Walenstadt,Walensee,undefined,l,1173919,3938688,0.2980482333203341
weissenau-neuhaus,Unterseen,Thunersee,undefined,l,1663390,2997957,0.5548411801770339
wycheley,Brienz (BE),Brienzersee,undefined,l,2030138,4453599,0.4558421178018048
zuerichsee_maennedorf_vanderkaadene,Männedorf,Zürichsee,undefined,l,332224,3276293,0.10140240814847756
zuerichsee_richterswil_benkoem_2,Richterswil,Zürichsee,undefined,l,630750,2801569,0.2251416973845727
zuerichsee_staefa_hennm,Stäfa,Zürichsee,undefined,l,1620140,3066486,0.5283376477179417
zuerichsee_waedenswil_colomboc_1,Richterswil,Zürichsee,undefined,l,935108,3296244,0.2836889502112101
zuerichsee_zurich_kullg,Zürich,Zürichsee,undefined,l,297,2797906,0.00010615081421606015
zugersee_immensee_guedesd,Meierskappel,Zugersee,undefined,l,605621,2542676,0.2381825289576808
zugerseecholler_cham_blarerm,Zug,Zugersee,undefined,l,971412,2794749,0.3475847025976215
zulg_steffisburg_schmassmanne,Steffisburg,Zulg,undefined,r,830717,5845672,0.14210804164174795
zurcher-strand,Zürich,Zürichsee,undefined,l,6790,4773918,0.0014223118201862706
zurichsee-feldeggstr-banningersand,Zürich,Zürichsee,undefined,l,305,3885644,7.849406687797442e-05
zurichsee_kusnachterhorn_thirkell-whitej,Küsnacht (ZH),Zürichsee,undefined,l,7163,2640566,0.002712675994464823
zurichsee_wollishofen_langendorfm,Zürich,Zürichsee,undefined,l,434306,3492973,0.12433706186678226
aabach,Schmerikon,Zürichsee,infrastructure,l,29652,3978059,0.007453886430543137
aare-limmatspitz,Gebenstorf,Aare,infrastructure,r,136956,5845672,0.023428615221654583
aare-port,Port,Nidau-Büren-Kanal,infrastructure,r,305014,5845672,0.052177747913328014
aare-solothurn-lido-strand,Solothurn,Aare,infrastructure,r,126183,5845672,0.02158571332774059
aare_bern_caveltin,Muri bei Bern,Aare,infrastructure,r,238826,5845672,0.04085518311667161
aare_bern_gerberm,Bern,Aare,infrastructure,r,693862,5845672,0.11869670415993235
aare_bern_scheurerk,Bern,Aare,infrastructure,r,1357964,5845672,0.23230246240295385
aare_brugg_buchie,Brugg,Aare,infrastructure,r,191630,5845672,0.032781517676667454
aare_elfenau_cataldiv,Bern,Aare,infrastructure,r,266493,5845672,0.04558808636543412
aare_kehrsatz_stolten,Belp,Aare,infrastructure,r,101455,5845672,0.01735557520161925
aare_koniz_hoppej,Köniz,Aare,infrastructure,r,363273,5845672,0.062143924599259076
aare_post,Port,Nidau-Büren-Kanal,infrastructure,r,315262,5845672,0.05393083977342553
aare_rupperswil_badert,Rupperswil,Aare,infrastructure,r,61171,5845672,0.010464323006833089
aare_solothurn_nguyena,Solothurn,Aare,infrastructure,r,199340,5845672,0.03410044217328649
aare_suhrespitz_badert,Aarau,Aare,infrastructure,r,152596,5845672,0.026104098895730038
aarezufluss_bern_scheurerk,Bern,Aare,infrastructure,r,1360826,5845672,0.2327920553873019
anarchy-beach,La Tour-de-Peilz,Lac Léman,infrastructure,l,111450,2088717,0.053358114095878
arabie,Vevey,Lac Léman,infrastructure,l,145719,2838114,0.0513436035338961
arve_carouge_battistellak,Veyrier,Arve,infrastructure,r,302580,5845672,0.05176137148988175
ascona-traghetto-spiaggia,Ascona,Lago Maggiore,infrastructure,l,124474,3839917,0.03241580482078128
augustmutzenbergstrandweg,Spiez,Thunersee,infrastructure,l,68844,3497821,0.019681967716472626
baby-plage-geneva,Genève,Lac Léman,infrastructure,l,663635,3703182,0.1792066930547837
baby-plage-ii-geneve,Genève,Lac Léman,infrastructure,l,644980,3590093,0.17965551310230682
bain-des-dames,La Tour-de-Peilz,Lac Léman,infrastructure,l,124514,2759389,0.045123757469497774
baye-de-clarens,Montreux,Lac Léman,infrastructure,l,222584,2691423,0.0827012327679447
baye-de-montreux-d,Montreux,Lac Léman,infrastructure,l,44049,2453955,0.017950206910884673
baye-de-montreux-g,Montreux,Lac Léman,infrastructure,l,44149,2438815,0.018102644111997013
beich,Walperswil,Aare,infrastructure,r,5105,5845672,0.00087329566215826
berlingen-swisslitterreport,Berlingen,Untersee,infrastructure,l,20071,3363303,0.005967645496109033
bern-fahrstrasse,Bern,Aare,infrastructure,r,1387463,5845672,0.23734875990305307
bern-tiergarten,Bern,Aare,infrastructure,r,378269,5845672,0.06470924129851965
bielersee_vinelz_fankhausers,Vinelz,Bielersee,infrastructure,l,70212,3917839,0.01792110395552242
birs_basel_grunern,Basel,Birs,infrastructure,r,486794,5845672,0.08327425828886739
birs_basel_laderachs,Basel,Birs,infrastructure,r,645778,5845672,0.11047113146273004
birs_reinach_dinuccin,Reinach (BL),Birs,infrastructure,r,215235,5845672,0.03681954786378709
birskopfli-rusco,Birsfelden,Birs,infrastructure,r,641268,5845672,0.10969962050556377
bodensee_altenrhein_caluoria,Thal,Bodensee,infrastructure,l,76423,3378754,0.02261869316321934
bodensee_arbon_moslis,Arbon,Bodensee,infrastructure,l,128837,2520627,0.05111307623063627
bodensee_horn_huberm,Horn,Bodensee,infrastructure,l,45135,3110691,0.014509637890745176
bodensee_steinach_dolder_a,Steinach,Bodensee,infrastructure,l,244547,4130751,0.05920158344088036
bodensee_thal_schlachterj_1,Thal,Bodensee,infrastructure,l,82186,3433082,0.02393942236159812
boiron,Tolochenaz,Lac Léman,infrastructure,l,18041,2092118,0.008623318569985059
brugg-be-buren-bsg-standort,Brügg,Nidau-Büren-Kanal,infrastructure,r,201770,5845672,0.03451613432980845
camp-des-peches,Le Landeron,Bielersee,infrastructure,l,109646,4393837,0.024954498767250585
camping-gwatt-strand,Thun,Thunersee,infrastructure,l,120538,3282504,0.036721356622870835
canale-saleggi,Bellinzona,Ticino,infrastructure,r,160625,5845672,0.027477593679563272
chriesbach_duebendorf_schneidera,Dübendorf,Chriesbach,infrastructure,r,206092,5845672,0.03525548474153185
cully-plage,Bourg-en-Lavaux,Lac Léman,infrastructure,l,35209,3614878,0.009740024421294438
delta-park,Spiez,Thunersee,infrastructure,l,88053,3042919,0.028937017383637225
emme_biberist_jennim,Biberist,Emme,infrastructure,r,119279,5845672,0.020404668616371222
emme_luterbach_huggenbergerk,Zuchwil,Emme,infrastructure,r,151100,5845672,0.025848183066035865
emme_utzenstorf_gruttert,Utzenstorf,Emme,infrastructure,r,67075,5845672,0.011474300987123464
erlach-camping-strand,Erlach,Bielersee,infrastructure,l,67254,2301037,0.029227691688573455
evole-plage,Neuchâtel,Neuenburgersee,infrastructure,l,172044,3650543,0.047128331319477676
flibach-river-right-bank,Weesen,Walensee,infrastructure,l,39693,4231205,0.00938101557357774
foce-del-cassarate,Lugano,Cassarate,infrastructure,r,287456,5845672,0.04917415824904305
gals-reserve,Gals,Bielersee,infrastructure,l,88331,3653090,0.024179803946795725
gasi-strand,Weesen,Walensee,infrastructure,l,53807,3800631,0.014157385970908515
glatt_oerlikon_covosn,Opfikon,Glatt,infrastructure,r,508332,5845672,0.08695869354284674
goldach_goldach_schlachterj,Goldach,Goldach,infrastructure,r,167887,5845672,0.028719880280658923
golene-gudo,Bellinzona,Ticino,infrastructure,r,6990,5845672,0.001195756450242162
grand-clos,Saint-Gingolph,Lac Léman,infrastructure,l,42872,2866568,0.01495586359716567
greifensee_fallanden_meistery,Fällanden,Greifensee,infrastructure,l,56307,3581230,0.01572281031935955
greifensee_fallanden_simmenc,Fällanden,Greifensee,infrastructure,l,45663,3488856,0.013088244398737008
greifensee_greifensee_simmenc,Greifensee,Greifensee,infrastructure,l,91739,2717490,0.03375872588307593
greifensee_maur_simmenc,Maur,Greifensee,infrastructure,l,14441,3345802,0.004316154990642004
