loc_date,location,date,doy,water_name_slug,water,river_bassin,city,code,quantity,pcs/m,slug,Project
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G176,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G177,5,0.08,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G178,4,0.07,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G179,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G180,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G181,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G182,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G183,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G185,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G186,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G188,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G19,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G190,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G191,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G193,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G194,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G195,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G196,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G197,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G198,1,0.02,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G199,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G2,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G20,0,0.0,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G200,8,0.13,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G201,1,0.02,maladaire,Testing
"('maladaire', '2021-06-02')",maladaire,2021-06-02,153,lac-leman,l,rhone,La Tour-de-Peilz,G202,0,0.0,maladaire,Testing
